INFO 2026-01-21 02:01:36,170 autoreload 15784 19712 Watching for file changes with StatReloader
INFO 2026-01-21 02:11:54,738 autoreload 26796 11496 Watching for file changes with StatReloader
WARNING 2026-01-21 02:21:19,527 log 26796 22556 Not Found: /api/products/
WARNING 2026-01-21 02:21:19,527 log 26796 7176 Not Found: /api/products/featured/
WARNING 2026-01-21 02:21:19,528 log 26796 22556 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:21:19,528 log 26796 7176 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:21:19,535 log 26796 22556 Not Found: /api/products/
WARNING 2026-01-21 02:21:19,539 log 26796 7176 Not Found: /api/products/featured/
WARNING 2026-01-21 02:21:19,540 log 26796 7176 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:21:19,540 log 26796 22556 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:21:19,897 log 26796 27556 Not Found: /api/products/featured/
WARNING 2026-01-21 02:21:19,901 log 26796 25968 Not Found: /api/products/
WARNING 2026-01-21 02:21:19,901 log 26796 27556 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:21:19,902 log 26796 25968 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:21:19,910 log 26796 27556 Not Found: /api/products/featured/
WARNING 2026-01-21 02:21:19,915 log 26796 25968 Not Found: /api/products/
WARNING 2026-01-21 02:21:19,915 log 26796 27556 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:21:19,915 log 26796 25968 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:21:54,104 log 26796 7176 Not Found: /api/products/featured/
WARNING 2026-01-21 02:21:54,110 log 26796 22556 Not Found: /api/products/
WARNING 2026-01-21 02:21:54,110 log 26796 7176 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:21:54,116 log 26796 18588 Not Found: /api/products/featured/
WARNING 2026-01-21 02:21:54,117 log 26796 22556 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:21:54,119 log 26796 18588 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:21:54,125 log 26796 7176 Not Found: /api/products/
WARNING 2026-01-21 02:21:54,125 log 26796 7176 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:21:59,355 log 26796 18588 Not Found: /api/products/
WARNING 2026-01-21 02:21:59,357 log 26796 7176 Not Found: /api/products/featured/
WARNING 2026-01-21 02:21:59,358 log 26796 7176 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:21:59,358 log 26796 18588 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:21:59,364 log 26796 20388 Not Found: /api/products/featured/
WARNING 2026-01-21 02:21:59,369 log 26796 22556 Not Found: /api/products/
WARNING 2026-01-21 02:21:59,370 log 26796 20388 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:21:59,370 log 26796 22556 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
WARNING 2026-01-21 02:22:06,262 log 26796 25968 Not Found: /api/products/
WARNING 2026-01-21 02:22:06,262 log 26796 25968 "GET /api/products/?search=&min_price=&max_price=&ordering=-created_at HTTP/1.1" 404 3430
WARNING 2026-01-21 02:22:06,271 log 26796 25968 Not Found: /api/products/
WARNING 2026-01-21 02:22:06,272 log 26796 25968 "GET /api/products/?search=&min_price=&max_price=&ordering=-created_at HTTP/1.1" 404 3430
WARNING 2026-01-21 02:22:08,613 log 26796 25968 Not Found: /api/products/featured/
WARNING 2026-01-21 02:22:08,622 log 26796 27556 Not Found: /api/products/
WARNING 2026-01-21 02:22:08,623 log 26796 25968 "GET /api/products/featured/ HTTP/1.1" 404 3394
WARNING 2026-01-21 02:22:08,624 log 26796 27556 "GET /api/products/?is_new_arrival=true&limit=8 HTTP/1.1" 404 3399
